checkpoint,original_tag,mean_score,n_tasks,n_native_tasks,n_translated_tasks
Qwen 1.7B Base,brazil,0.649,10,10,0
Qwen 1.7B Base,code,0.9667,1,0,1
Qwen 1.7B Base,common-sense,0.7666,10,1,9
Qwen 1.7B Base,ethics,0.8218,2,0,2
Qwen 1.7B Base,exams,0.5469,6,3,3
Qwen 1.7B Base,general-knowledge,0.5479,3,0,3
Qwen 1.7B Base,hate-speech,0.7344,3,3,0
Qwen 1.7B Base,math,0.5238,4,0,4
Qwen 1.7B Base,proverbs,0.4733,2,2,0
Qwen 1.7B Base,reasoning,0.6156,10,2,8
Qwen 1.7B Base,social-media,0.6883,4,4,0
Qwen 1.7B Base,text-understanding,0.6602,9,3,6
Gigaverbo adapted,brazil,0.6501,10,10,0
Gigaverbo adapted,code,0.9667,1,0,1
Gigaverbo adapted,common-sense,0.759,10,1,9
Gigaverbo adapted,ethics,0.7938,2,0,2
Gigaverbo adapted,exams,0.5403,6,3,3
Gigaverbo adapted,general-knowledge,0.491,3,0,3
Gigaverbo adapted,hate-speech,0.7278,3,3,0
Gigaverbo adapted,math,0.5299,4,0,4
Gigaverbo adapted,proverbs,0.4933,2,2,0
Gigaverbo adapted,reasoning,0.6316,10,2,8
Gigaverbo adapted,social-media,0.6802,4,4,0
Gigaverbo adapted,text-understanding,0.6541,9,3,6
Carolina adapted,brazil,0.6611,10,10,0
Carolina adapted,code,0.9667,1,0,1
Carolina adapted,common-sense,0.7476,10,1,9
Carolina adapted,ethics,0.7941,2,0,2
Carolina adapted,exams,0.5575,6,3,3
Carolina adapted,general-knowledge,0.5259,3,0,3
Carolina adapted,hate-speech,0.7322,3,3,0
Carolina adapted,math,0.5096,4,0,4
Carolina adapted,proverbs,0.51,2,2,0
Carolina adapted,reasoning,0.6185,10,2,8
Carolina adapted,social-media,0.6835,4,4,0
Carolina adapted,text-understanding,0.6385,9,3,6
