checkpoint,task,lm_eval_task,categoria_paper,native_translated,metric,score
TuQwen3-Base-LR1e5-run1,Assin RTE,assin_rte_greedy,NLI / text understanding,Native,acc,0.9066666666666667
TuQwen3-Base-LR1e5-run1,Assin STS,assin_sts_greedy,NLI / text understanding,Native,pearson,0.5707472534409384
TuQwen3-Base-LR1e5-run1,BLUEX,bluex_greedy,Brazil / exams / culture,Native,acc_norm,0.5327564894932015
TuQwen3-Base-LR1e5-run1,Enem,enem_greedy,Brazil / exams / culture,Native,acc,0.7106986899563319
TuQwen3-Base-LR1e5-run1,Enem 2022,enem2022_greedy,Brazil / exams / culture,Native,acc,0.5932203389830508
TuQwen3-Base-LR1e5-run1,Faquad,faquad_nli_greedy,NLI / text understanding,Native,f1,0.8473126727252659
TuQwen3-Base-LR1e5-run1,TweetsentBR,tweetsentbr_greedy,toxicity / social,Native,acc,0.5375
TuQwen3-Base-LR1e5-run1,Broverbs History to Proverb,broverbs_history_to_proverb_greedy,Brazil / exams / culture,Native,acc,0.5533333333333333
TuQwen3-Base-LR1e5-run1,Broverbs Proverb to History,broverbs_proverb_to_history_greedy,Brazil / exams / culture,Native,acc,0.43333333333333335
TuQwen3-Base-LR1e5-run1,InferBR,inferbr_greedy,NLI / text understanding,Native,acc,0.8366666666666667
TuQwen3-Base-LR1e5-run1,Repro,repro_greedy,Brazil / exams / culture,Native,acc,0.9566666666666667
TuQwen3-Base-LR1e5-run1,Mina BR,mina_br_greedy,toxicity / social,Native,acc,0.6866666666666666
TuQwen3-Base-LR1e5-run1,PT Hate Speech,pt_hate_speech_greedy,toxicity / social,Native,acc,0.6966666666666667
TuQwen3-Base-LR1e5-run1,HateBR Binary,hatebr_binary_greedy,toxicity / social,Native,acc,0.8
TuQwen3-Base-LR1e5-run1,AGNews,agnews_pt_greedy,NLI / text understanding,Translated,acc,0.8433333333333333
TuQwen3-Base-LR1e5-run1,BoolQ,boolq_pt_greedy,NLI / text understanding,Translated,acc,0.52
TuQwen3-Base-LR1e5-run1,IMDb,imdb_pt_greedy,NLI / text understanding,Translated,acc,0.87
TuQwen3-Base-LR1e5-run1,Massive,massive_pt_greedy,NLI / text understanding,Translated,acc,0.6933333333333332
TuQwen3-Base-LR1e5-run1,MKQA,mkqa_pt_greedy,NLI / text understanding,Translated,best_em,0.11
TuQwen3-Base-LR1e5-run1,SST-2,sst2_pt_greedy,NLI / text understanding,Translated,acc,0.8966666666666666
TuQwen3-Base-LR1e5-run1,WSC-285,wsc285_pt_greedy,NLI / text understanding,Translated,acc,0.6
TuQwen3-Base-LR1e5-run1,BB Analogical Similarity,bigbench_pt_analogical_similarity_greedy,reasoning,Translated,acc,0.27666666666666667
TuQwen3-Base-LR1e5-run1,BB Code Line Description,bigbench_pt_code_line_description_greedy,code / other,Translated,acc,0.9666666666666667
TuQwen3-Base-LR1e5-run1,BB Empirical Judgments,bigbench_pt_empirical_judgments_greedy,reasoning,Translated,acc,0.6060606060606061
TuQwen3-Base-LR1e5-run1,BB Fallacies Syllogisms,bigbench_pt_formal_fallacies_syllogisms_negation_greedy,reasoning,Translated,acc,0.5166666666666667
TuQwen3-Base-LR1e5-run1,BB General Knowledge,bigbench_pt_general_knowledge_greedy,NLI / text understanding,Translated,acc,0.8428571428571429
TuQwen3-Base-LR1e5-run1,BB Mathematical Induction,bigbench_pt_mathematical_induction_greedy,math,Translated,acc,0.7142857142857143
TuQwen3-Base-LR1e5-run1,BB Simple Ethical Questions,bigbench_pt_simple_ethical_questions_greedy,toxicity / social,Translated,acc,0.8608695652173913
TuQwen3-Base-LR1e5-run1,BB StrategyQA,bigbench_pt_strategyqa_greedy,reasoning,Translated,acc,0.62
TuQwen3-Base-LR1e5-run1,BB VitaminC Fact Verification,bigbench_pt_vitaminc_fact_verification_greedy,NLI / text understanding,Translated,acc,0.6166666666666667
TuQwen3-Base-LR1e5-run1,BB Social IQA,bigbench_pt_social_iqa_greedy,NLI / text understanding,Translated,acc,0.6066666666666667
TuQwen3-Base-LR1e5-run1,BB Causal Judgment,bigbench_pt_causal_judgment_greedy,reasoning,Translated,acc,0.5684210526315789
TuQwen3-Base-LR1e5-run1,BB BBQ,bigbench_pt_bbq_greedy,toxicity / social,Translated,acc,0.7266666666666667
TuQwen3-Base-LR1e5-run1,BB Cause and Effect,bigbench_pt_cause_and_effect_two_sentences_greedy,reasoning,Translated,acc,0.7647058823529411
TuQwen3-Base-LR1e5-run1,StoryCloze,storycloze_pt_greedy,NLI / text understanding,Translated,acc,0.8766666666666667
TuQwen3-Base-LR1e5-run1,Math MC,math_mc_greedy,math,Translated,acc,0.51
TuQwen3-Base-LR1e5-run1,GSM8K MC,gsm8k_mc_greedy,math,Translated,acc,0.41333333333333333
TuQwen3-Base-LR1e5-run1,AGIEval SAT Math,agieval_sat_math_greedy,math,Translated,acc,0.4818181818181818
TuQwen3-Base-LR1e5-run1,Balanced COPA,balanced_copa_greedy,reasoning,Translated,acc,0.85
TuQwen3-Base-LR1e5-run1,LogiQA,logiqa_greedy,reasoning,Translated,acc,0.4208754208754209
