checkpoint,task,lm_eval_task,categoria_paper,native_translated,metric,score
QwenRolina3-Base,Assin RTE,assin_rte_greedy,NLI / text understanding,Native,acc,0.9133333333333333
QwenRolina3-Base,Assin STS,assin_sts_greedy,NLI / text understanding,Native,pearson,0.5319073764742336
QwenRolina3-Base,BLUEX,bluex_greedy,Brazil / exams / culture,Native,acc_norm,0.5512978986402967
QwenRolina3-Base,Enem,enem_greedy,Brazil / exams / culture,Native,acc,0.7281659388646288
QwenRolina3-Base,Enem 2022,enem2022_greedy,Brazil / exams / culture,Native,acc,0.6271186440677966
QwenRolina3-Base,Faquad,faquad_nli_greedy,NLI / text understanding,Native,f1,0.7885773654705679
QwenRolina3-Base,TweetsentBR,tweetsentbr_greedy,toxicity / social,Native,acc,0.5375
QwenRolina3-Base,Broverbs History to Proverb,broverbs_history_to_proverb_greedy,Brazil / exams / culture,Native,acc,0.5533333333333333
QwenRolina3-Base,Broverbs Proverb to History,broverbs_proverb_to_history_greedy,Brazil / exams / culture,Native,acc,0.4666666666666667
QwenRolina3-Base,InferBR,inferbr_greedy,NLI / text understanding,Native,acc,0.8033333333333333
QwenRolina3-Base,Repro,repro_greedy,Brazil / exams / culture,Native,acc,0.95
QwenRolina3-Base,Mina BR,mina_br_greedy,toxicity / social,Native,acc,0.7333333333333333
QwenRolina3-Base,PT Hate Speech,pt_hate_speech_greedy,toxicity / social,Native,acc,0.6966666666666667
QwenRolina3-Base,HateBR Binary,hatebr_binary_greedy,toxicity / social,Native,acc,0.7666666666666667
QwenRolina3-Base,AGNews,agnews_pt_greedy,NLI / text understanding,Translated,acc,0.81
QwenRolina3-Base,BoolQ,boolq_pt_greedy,NLI / text understanding,Translated,acc,0.6666666666666666
QwenRolina3-Base,IMDb,imdb_pt_greedy,NLI / text understanding,Translated,acc,0.83
QwenRolina3-Base,Massive,massive_pt_greedy,NLI / text understanding,Translated,acc,0.7066666666666667
QwenRolina3-Base,MKQA,mkqa_pt_greedy,NLI / text understanding,Translated,best_em,0.0967
QwenRolina3-Base,SST-2,sst2_pt_greedy,NLI / text understanding,Translated,acc,0.8866666666666667
QwenRolina3-Base,WSC-285,wsc285_pt_greedy,NLI / text understanding,Translated,acc,0.6210526315789474
QwenRolina3-Base,BB Analogical Similarity,bigbench_pt_analogical_similarity_greedy,reasoning,Translated,acc,0.25666666666666665
QwenRolina3-Base,BB Code Line Description,bigbench_pt_code_line_description_greedy,code / other,Translated,acc,0.9666666666666667
QwenRolina3-Base,BB Empirical Judgments,bigbench_pt_empirical_judgments_greedy,reasoning,Translated,acc,0.6262626262626263
QwenRolina3-Base,BB Fallacies Syllogisms,bigbench_pt_formal_fallacies_syllogisms_negation_greedy,reasoning,Translated,acc,0.53
QwenRolina3-Base,BB General Knowledge,bigbench_pt_general_knowledge_greedy,NLI / text understanding,Translated,acc,0.8142857142857143
QwenRolina3-Base,BB Mathematical Induction,bigbench_pt_mathematical_induction_greedy,math,Translated,acc,0.6
QwenRolina3-Base,BB Simple Ethical Questions,bigbench_pt_simple_ethical_questions_greedy,toxicity / social,Translated,acc,0.8782608695652174
QwenRolina3-Base,BB StrategyQA,bigbench_pt_strategyqa_greedy,reasoning,Translated,acc,0.64
QwenRolina3-Base,BB VitaminC Fact Verification,bigbench_pt_vitaminc_fact_verification_greedy,NLI / text understanding,Translated,acc,0.5966666666666667
QwenRolina3-Base,BB Social IQA,bigbench_pt_social_iqa_greedy,NLI / text understanding,Translated,acc,0.59
QwenRolina3-Base,BB Causal Judgment,bigbench_pt_causal_judgment_greedy,reasoning,Translated,acc,0.5473684210526316
QwenRolina3-Base,BB BBQ,bigbench_pt_bbq_greedy,toxicity / social,Translated,acc,0.71
QwenRolina3-Base,BB Cause and Effect,bigbench_pt_cause_and_effect_two_sentences_greedy,reasoning,Translated,acc,0.7450980392156863
QwenRolina3-Base,StoryCloze,storycloze_pt_greedy,NLI / text understanding,Translated,acc,0.8466666666666667
QwenRolina3-Base,Math MC,math_mc_greedy,math,Translated,acc,0.5533333333333333
QwenRolina3-Base,GSM8K MC,gsm8k_mc_greedy,math,Translated,acc,0.4033333333333333
QwenRolina3-Base,AGIEval SAT Math,agieval_sat_math_greedy,math,Translated,acc,0.4818181818181818
QwenRolina3-Base,Balanced COPA,balanced_copa_greedy,reasoning,Translated,acc,0.84
QwenRolina3-Base,LogiQA,logiqa_greedy,reasoning,Translated,acc,0.4276094276094276
