task,from_checkpoint,to_checkpoint,score_from,score_to,delta
Assin RTE,Qwen 1.7B Base,Gigaverbo adapted,0.8866666666666667,0.9066666666666667,0.02
Assin STS,Qwen 1.7B Base,Gigaverbo adapted,0.5660080335238646,0.5707472534409384,0.0047
BLUEX,Qwen 1.7B Base,Gigaverbo adapted,0.5302843016069221,0.5327564894932015,0.0025
Enem,Qwen 1.7B Base,Gigaverbo adapted,0.7281659388646288,0.7106986899563319,-0.0175
Enem 2022,Qwen 1.7B Base,Gigaverbo adapted,0.5847457627118644,0.5932203389830508,0.0085
Faquad,Qwen 1.7B Base,Gigaverbo adapted,0.8381214482817544,0.8473126727252659,0.0092
TweetsentBR,Qwen 1.7B Base,Gigaverbo adapted,0.55,0.5375,-0.0125
Broverbs History to Proverb,Qwen 1.7B Base,Gigaverbo adapted,0.5166666666666667,0.5533333333333333,0.0367
Broverbs Proverb to History,Qwen 1.7B Base,Gigaverbo adapted,0.43,0.43333333333333335,0.0033
InferBR,Qwen 1.7B Base,Gigaverbo adapted,0.8266666666666667,0.8366666666666667,0.01
Repro,Qwen 1.7B Base,Gigaverbo adapted,0.9466666666666667,0.9566666666666667,0.01
Mina BR,Qwen 1.7B Base,Gigaverbo adapted,0.71,0.6866666666666666,-0.0233
PT Hate Speech,Qwen 1.7B Base,Gigaverbo adapted,0.7066666666666667,0.6966666666666667,-0.01
HateBR Binary,Qwen 1.7B Base,Gigaverbo adapted,0.7866666666666666,0.8,0.0133
AGNews,Qwen 1.7B Base,Gigaverbo adapted,0.8466666666666667,0.8433333333333333,-0.0033
BoolQ,Qwen 1.7B Base,Gigaverbo adapted,0.6666666666666666,0.52,-0.1467
IMDb,Qwen 1.7B Base,Gigaverbo adapted,0.9033333333333333,0.87,-0.0333
Massive,Qwen 1.7B Base,Gigaverbo adapted,0.6866666666666668,0.6933333333333332,0.0067
MKQA,Qwen 1.7B Base,Gigaverbo adapted,0.12,0.11,-0.01
SST-2,Qwen 1.7B Base,Gigaverbo adapted,0.9033333333333333,0.8966666666666666,-0.0067
WSC-285,Qwen 1.7B Base,Gigaverbo adapted,0.631578947368421,0.6,-0.0316
BB Analogical Similarity,Qwen 1.7B Base,Gigaverbo adapted,0.25333333333333335,0.27666666666666667,0.0233
BB Code Line Description,Qwen 1.7B Base,Gigaverbo adapted,0.9666666666666667,0.9666666666666667,0.0
BB Empirical Judgments,Qwen 1.7B Base,Gigaverbo adapted,0.5454545454545454,0.6060606060606061,0.0606
BB Fallacies Syllogisms,Qwen 1.7B Base,Gigaverbo adapted,0.5366666666666666,0.5166666666666667,-0.02
BB General Knowledge,Qwen 1.7B Base,Gigaverbo adapted,0.8571428571428571,0.8428571428571429,-0.0143
BB Mathematical Induction,Qwen 1.7B Base,Gigaverbo adapted,0.6571428571428571,0.7142857142857143,0.0571
BB Simple Ethical Questions,Qwen 1.7B Base,Gigaverbo adapted,0.8869565217391304,0.8608695652173913,-0.0261
BB StrategyQA,Qwen 1.7B Base,Gigaverbo adapted,0.62,0.62,0.0
BB VitaminC Fact Verification,Qwen 1.7B Base,Gigaverbo adapted,0.6366666666666667,0.6166666666666667,-0.02
BB Social IQA,Qwen 1.7B Base,Gigaverbo adapted,0.5833333333333334,0.6066666666666667,0.0233
BB Causal Judgment,Qwen 1.7B Base,Gigaverbo adapted,0.5789473684210527,0.5684210526315789,-0.0105
BB BBQ,Qwen 1.7B Base,Gigaverbo adapted,0.7566666666666667,0.7266666666666667,-0.03
BB Cause and Effect,Qwen 1.7B Base,Gigaverbo adapted,0.7843137254901961,0.7647058823529411,-0.0196
StoryCloze,Qwen 1.7B Base,Gigaverbo adapted,0.9033333333333333,0.8766666666666667,-0.0267
Math MC,Qwen 1.7B Base,Gigaverbo adapted,0.52,0.51,-0.01
GSM8K MC,Qwen 1.7B Base,Gigaverbo adapted,0.4,0.41333333333333333,0.0133
AGIEval SAT Math,Qwen 1.7B Base,Gigaverbo adapted,0.5181818181818182,0.4818181818181818,-0.0364
Balanced COPA,Qwen 1.7B Base,Gigaverbo adapted,0.8166666666666667,0.85,0.0333
LogiQA,Qwen 1.7B Base,Gigaverbo adapted,0.43434343434343436,0.4208754208754209,-0.0135
Assin RTE,Qwen 1.7B Base,Carolina adapted,0.8866666666666667,0.9133333333333333,0.0267
Assin STS,Qwen 1.7B Base,Carolina adapted,0.5660080335238646,0.5319073764742336,-0.0341
BLUEX,Qwen 1.7B Base,Carolina adapted,0.5302843016069221,0.5512978986402967,0.021
Enem,Qwen 1.7B Base,Carolina adapted,0.7281659388646288,0.7281659388646288,0.0
Enem 2022,Qwen 1.7B Base,Carolina adapted,0.5847457627118644,0.6271186440677966,0.0424
Faquad,Qwen 1.7B Base,Carolina adapted,0.8381214482817544,0.7885773654705679,-0.0495
TweetsentBR,Qwen 1.7B Base,Carolina adapted,0.55,0.5375,-0.0125
Broverbs History to Proverb,Qwen 1.7B Base,Carolina adapted,0.5166666666666667,0.5533333333333333,0.0367
Broverbs Proverb to History,Qwen 1.7B Base,Carolina adapted,0.43,0.4666666666666667,0.0367
InferBR,Qwen 1.7B Base,Carolina adapted,0.8266666666666667,0.8033333333333333,-0.0233
Repro,Qwen 1.7B Base,Carolina adapted,0.9466666666666667,0.95,0.0033
Mina BR,Qwen 1.7B Base,Carolina adapted,0.71,0.7333333333333333,0.0233
PT Hate Speech,Qwen 1.7B Base,Carolina adapted,0.7066666666666667,0.6966666666666667,-0.01
HateBR Binary,Qwen 1.7B Base,Carolina adapted,0.7866666666666666,0.7666666666666667,-0.02
AGNews,Qwen 1.7B Base,Carolina adapted,0.8466666666666667,0.81,-0.0367
BoolQ,Qwen 1.7B Base,Carolina adapted,0.6666666666666666,0.6666666666666666,0.0
IMDb,Qwen 1.7B Base,Carolina adapted,0.9033333333333333,0.83,-0.0733
Massive,Qwen 1.7B Base,Carolina adapted,0.6866666666666668,0.7066666666666667,0.02
MKQA,Qwen 1.7B Base,Carolina adapted,0.12,0.0967,-0.0233
SST-2,Qwen 1.7B Base,Carolina adapted,0.9033333333333333,0.8866666666666667,-0.0167
WSC-285,Qwen 1.7B Base,Carolina adapted,0.631578947368421,0.6210526315789474,-0.0105
BB Analogical Similarity,Qwen 1.7B Base,Carolina adapted,0.25333333333333335,0.25666666666666665,0.0033
BB Code Line Description,Qwen 1.7B Base,Carolina adapted,0.9666666666666667,0.9666666666666667,0.0
BB Empirical Judgments,Qwen 1.7B Base,Carolina adapted,0.5454545454545454,0.6262626262626263,0.0808
BB Fallacies Syllogisms,Qwen 1.7B Base,Carolina adapted,0.5366666666666666,0.53,-0.0067
BB General Knowledge,Qwen 1.7B Base,Carolina adapted,0.8571428571428571,0.8142857142857143,-0.0429
BB Mathematical Induction,Qwen 1.7B Base,Carolina adapted,0.6571428571428571,0.6,-0.0571
BB Simple Ethical Questions,Qwen 1.7B Base,Carolina adapted,0.8869565217391304,0.8782608695652174,-0.0087
BB StrategyQA,Qwen 1.7B Base,Carolina adapted,0.62,0.64,0.02
